run_id,nozzle_temp_c,vibration_g,layer_time_s,defect_score,injected_anomaly
R001,216.52358539877216,0.5848836532874679,13.282350342417661,0.19561558198376924,normal
R002,209.80007946879752,0.6184683509649945,12.309348942494841,0.2803250154624321,normal
R003,218.7522559790323,1.017985762540923,13.671247093467318,0.18640641247212456,normal
R004,219.70282358195607,0.6050058649085859,13.25086898873126,0.22065439667308576,normal
R005,205.2448240567308,0.8373884885230882,14.320646157646802,0.17602517639251158,normal
R006,208.4891024656884,0.5935901950678163,13.230774691138645,0.1680714693185057,normal
R007,215.63920201583642,0.8504202218023942,10.92795974434676,0.12543623222922062,normal
R008,213.4187870382821,0.7738931352548208,12.4330468271018,0.21012109512702873,normal
R009,214.91599421247855,0.6980706943278673,11.327992807405185,0.12039239675699623,normal
R010,210.7347803621321,1.5496329656908145,11.981720157633726,0.5550545564255354,vibration_instability
R011,219.39698987431413,0.6283297226398853,14.011228433276722,0.2559700903112137,normal
R012,218.88895967714475,0.7824501082074913,13.137533810897697,0.2056571985066061,normal
R013,215.3301534878061,0.6563023127522908,11.801069571421253,0.15996258865110155,normal
R014,220.63620603484017,0.5484151930725852,11.4862826335596,0.21177759055160872,normal
R015,217.33754671126022,0.5410887395952533,12.53278209287626,0.15839288611175112,normal
R016,210.7035376855838,0.7441623084810967,11.283439850618873,0.24548829878256045,normal
R017,216.8437539204125,0.9410727758974609,11.828859722603418,0.05180157410494133,normal
R018,210.20558699585501,1.4067765085569777,12.812009471551244,0.3857208065326824,vibration_instability
R019,219.39225150653635,0.7033906343446165,13.655312036106697,0.040643160341320136,normal
R020,214.75037044506874,0.760015659544356,18.799404743691255,0.07534574188409562,slow_layer_cycle
R021,214.0756881822737,0.9028402438389554,10.2087104914019,0.2754703560869737,normal
R022,211.59535227798028,1.4185497190921499,12.80436672903026,0.44498302238786336,vibration_instability
R023,221.11270669337014,0.6624701876832768,12.572033573232577,0.12963638367006466,normal
R024,214.227352589656,0.8748804194083845,12.913890285372693,0.07482475807713719,normal
R025,212.85836088918447,0.7800259013846259,14.116209681651208,0.0,normal
R026,213.23933224755885,0.9350058388794389,10.436761723195257,0.14195531444471557,normal
